Zyphon;Denmark;403;10629;1.04;1.01;7365;51.3;1.04;
PlesseN;Sweden;1259;33706;1.01;1.01;23886;54.5;1.16;
desi;United States;430;10986;1.01;1.01;7826;51.5;1.07;
arT;Brazil;968;25108;1.01;1.01;17866;34.4;1.28;
b0RUP;Denmark;1405;37152;1.02;1.01;25466;63.8;1.06;
HUGHMUNGUS;Australia;743;19269;1.04;1.01;13159;50.7;1.03;
tatazin;Brazil;760;19926;1.08;1.01;12958;46.3;0.9;
Swisher;United States;566;14759;1.02;1.01;10359;47.5;1.1;
Maikelele;Sweden;1067;28134;1.05;1.01;18850;37.0;1.03;
Lekr0;Sweden;1302;34804;1.03;1.01;24036;51.5;1.05;
mitch;United States;807;20719;1.05;1.01;14179;44.4;1.05;
shokz;Estonia;606;16120;1.03;1.01;10960;53.8;1.04;
hampus;Sweden;1347;35837;1.01;1.01;25171;40.5;1.15;
